FileName,mean_particles,n_samples,time_per_event
events-ee-Z.hepmc3,43.05,15,13.677033333333334
events-ee-H.hepmc3,64.97,15,24.337782
events-pp-0.5TeV-5GeV.hepmc3,112.62,15,26.979784000000002
events-pp-1TeV-5GeV.hepmc3,160.36,15,37.85871466666668
events-pp-2TeV-5GeV.hepmc3,188.21,15,52.24436933333332
events-pp-1TeV.hepmc3,226.98,15,66.66150133333332
events-pp-2TeV.hepmc3,226.98,15,67.42441333333333
events-pp-5TeV-10GeV.hepmc3,284.15,15,88.94834533333334
events-pp-8TeV-20GeV.hepmc3,354.18,15,123.742208
events-pp-13TeV-20GeV.hepmc,431.18,15,146.266442
events-pp-20TeV-20GeV.hepmc3,524.59,15,187.56843000000003
events-pp-20TeV-50GeV.hepmc3,553.64,15,207.4476586666666
events-pp-30TeV-50GeV.hepmc3,632.29,15,261.17391133333336
