FileName,mean_particles,n_samples,time_per_event
events-ee-Z.hepmc3,43.05,15,15.751202901204428
events-ee-H.hepmc3,64.97,15,17.232418060302734
events-pp-0.5TeV-5GeV.hepmc3,112.62,15,37.79474894205729
events-pp-1TeV-5GeV.hepmc3,160.36,15,55.93697230021159
events-pp-2TeV-5GeV.hepmc3,188.21,15,69.82056299845377
events-pp-1TeV.hepmc3,226.98,15,87.2637430826823
events-pp-2TeV.hepmc3,226.98,15,83.21762084960938
events-pp-5TeV-10GeV.hepmc3,284.15,15,103.90090942382812
events-pp-8TeV-20GeV.hepmc3,354.18,15,123.08820088704427
events-pp-13TeV-20GeV.hepmc,431.18,15,158.55916341145834
events-pp-20TeV-20GeV.hepmc3,524.59,15,174.08831914265951
events-pp-20TeV-50GeV.hepmc3,553.64,15,174.21833674112955
events-pp-30TeV-50GeV.hepmc3,632.29,15,196.7795689900716
