file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R,p
events-ee-Z.hepmc3.gz,43.05,16,20.07,FastJet,EEKt,Best,1.0,0.0
events-ee-H.hepmc3.gz,64.97,16,32.52,FastJet,EEKt,Best,1.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,21.51,FastJet,EEKt,Best,1.5,0.0
events-ee-H.hepmc3.gz,64.97,16,35.06,FastJet,EEKt,Best,1.5,0.0
events-ee-Z.hepmc3.gz,43.05,16,25.36692,Julia,EEKt,Best,2.0,0.0
events-ee-H.hepmc3.gz,64.97,16,46.38923,Julia,EEKt,Best,2.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,19.53,FastJet,EEKt,Best,1.0,1.0
events-ee-H.hepmc3.gz,64.97,16,31.78,FastJet,EEKt,Best,1.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,16.48943,Julia,EEKt,Best,0.2,-1.0
events-ee-H.hepmc3.gz,64.97,16,31.44089,Julia,EEKt,Best,0.2,-1.0
events-ee-Z.hepmc3.gz,43.05,16,19.34,FastJet,EEKt,Best,1.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,30.87,FastJet,EEKt,Best,1.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,21.05,FastJet,EEKt,Best,1.5,1.0
events-ee-H.hepmc3.gz,64.97,16,34.0,FastJet,EEKt,Best,1.5,1.0
events-ee-Z.hepmc3.gz,43.05,16,25.475830000000002,Julia,EEKt,Best,2.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,46.13165,Julia,EEKt,Best,2.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,19.89,FastJet,EEKt,Best,2.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,34.99,FastJet,EEKt,Best,2.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,22.65,FastJet,EEKt,Best,0.2,1.0
events-ee-H.hepmc3.gz,64.97,16,29.45,FastJet,EEKt,Best,0.2,1.0
events-ee-Z.hepmc3.gz,43.05,16,20.19386,Julia,EEKt,Best,0.4,-1.0
events-ee-H.hepmc3.gz,64.97,16,36.55164,Julia,EEKt,Best,0.4,-1.0
events-ee-Z.hepmc3.gz,43.05,16,25.9919,Julia,EEKt,Best,1.0,1.0
events-ee-H.hepmc3.gz,64.97,16,45.36742,Julia,EEKt,Best,1.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,24.929299999999998,Julia,EEKt,Best,1.5,-1.0
events-ee-H.hepmc3.gz,64.97,16,44.11799,Julia,EEKt,Best,1.5,-1.0
events-ee-Z.hepmc3.gz,43.05,16,21.27,FastJet,EEKt,Best,4.0,0.0
events-ee-H.hepmc3.gz,64.97,16,38.49,FastJet,EEKt,Best,4.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,21.57,FastJet,EEKt,Best,2.0,0.0
events-ee-H.hepmc3.gz,64.97,16,39.01,FastJet,EEKt,Best,2.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,16.74391,Julia,EEKt,Best,0.2,1.0
events-ee-H.hepmc3.gz,64.97,16,31.956950000000003,Julia,EEKt,Best,0.2,1.0
events-ee-Z.hepmc3.gz,43.05,16,20.75621,Julia,EEKt,Best,0.4,1.0
events-ee-H.hepmc3.gz,64.97,16,37.72042,Julia,EEKt,Best,0.4,1.0
events-ee-Z.hepmc3.gz,43.05,16,20.38,FastJet,Durham,Best,4.0,1.0
events-ee-H.hepmc3.gz,64.97,16,36.45,FastJet,Durham,Best,4.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,18.33,FastJet,EEKt,Best,0.4,-1.0
events-ee-H.hepmc3.gz,64.97,16,27.68,FastJet,EEKt,Best,0.4,-1.0
events-ee-Z.hepmc3.gz,43.05,16,26.133960000000002,Julia,EEKt,Best,1.5,1.0
events-ee-H.hepmc3.gz,64.97,16,45.73991,Julia,EEKt,Best,1.5,1.0
events-ee-Z.hepmc3.gz,43.05,16,23.81833,Julia,EEKt,Best,1.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,42.357200000000006,Julia,EEKt,Best,1.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,18.35,FastJet,EEKt,Best,0.4,0.0
events-ee-H.hepmc3.gz,64.97,16,28.43,FastJet,EEKt,Best,0.4,0.0
events-ee-Z.hepmc3.gz,43.05,16,20.41,FastJet,EEKt,Best,4.0,1.0
events-ee-H.hepmc3.gz,64.97,16,36.64,FastJet,EEKt,Best,4.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,23.80511,Julia,EEKt,Best,1.0,0.0
events-ee-H.hepmc3.gz,64.97,16,42.887480000000004,Julia,EEKt,Best,1.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,23.62,FastJet,EEKt,Best,0.2,-1.0
events-ee-H.hepmc3.gz,64.97,16,29.56,FastJet,EEKt,Best,0.2,-1.0
events-ee-Z.hepmc3.gz,43.05,16,22.53,FastJet,EEKt,Best,0.2,0.0
