file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R,p
events-ee-Z.hepmc3.gz,43.05,16,30.26,FastJet,EEKt,Best,1.0,0.0
events-ee-H.hepmc3.gz,64.97,16,49.18,FastJet,EEKt,Best,1.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,32.27,FastJet,EEKt,Best,1.5,0.0
events-ee-H.hepmc3.gz,64.97,16,53.77,FastJet,EEKt,Best,1.5,0.0
events-ee-Z.hepmc3.gz,43.05,16,43.90449,Julia,EEKt,Best,2.0,0.0
events-ee-H.hepmc3.gz,64.97,16,78.04819,Julia,EEKt,Best,2.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,29.37,FastJet,EEKt,Best,1.0,1.0
events-ee-H.hepmc3.gz,64.97,16,47.79,FastJet,EEKt,Best,1.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,29.00281,Julia,EEKt,Best,0.2,-1.0
events-ee-H.hepmc3.gz,64.97,16,55.26671,Julia,EEKt,Best,0.2,-1.0
events-ee-Z.hepmc3.gz,43.05,16,29.43,FastJet,EEKt,Best,1.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,47.71,FastJet,EEKt,Best,1.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,31.65,FastJet,EEKt,Best,1.5,1.0
events-ee-H.hepmc3.gz,64.97,16,51.77,FastJet,EEKt,Best,1.5,1.0
events-ee-Z.hepmc3.gz,43.05,16,44.98794,Julia,EEKt,Best,2.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,78.7579,Julia,EEKt,Best,2.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,30.05,FastJet,EEKt,Best,2.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,54.06,FastJet,EEKt,Best,2.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,36.56,FastJet,EEKt,Best,0.2,1.0
events-ee-H.hepmc3.gz,64.97,16,48.42,FastJet,EEKt,Best,0.2,1.0
