file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R,p
events-ee-Z.hepmc3.gz,43.05,16,57.73509,Julia,AntiKt,N2Tiled,2.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,92.99548,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,164.14624,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,252.25824,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,315.40572,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-1TeV.hepmc3.gz,226.98,16,406.43219,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-2TeV.hepmc3.gz,226.98,16,406.44840000000005,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,539.10259,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,796.4889900000001,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,1042.10891,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,1363.10003,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1624.64829,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1924.92834,Julia,AntiKt,N2Tiled,2.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,41.29969,Julia,AntiKt,N2Tiled,0.4,-1.0
events-ee-H.hepmc3.gz,64.97,16,69.60345000000001,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,79.68334,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,122.65184,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,151.70960000000002,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-1TeV.hepmc3.gz,226.98,16,198.48939000000001,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-2TeV.hepmc3.gz,226.98,16,200.90867000000003,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,259.99048999999997,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,378.43992,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,488.83805,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,668.77822,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,708.45341,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,879.8127800000001,Julia,AntiKt,N2Tiled,0.4,-1.0
