file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R
events-ee-Z.hepmc3.gz,43.05,16,15.99,FastJet,CA,N2Tiled,0.2
events-ee-H.hepmc3.gz,64.97,16,26.13,FastJet,CA,N2Tiled,0.2
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,37.63,FastJet,CA,N2Tiled,0.2
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,54.69,FastJet,CA,N2Tiled,0.2
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,68.48,FastJet,CA,N2Tiled,0.2
events-pp-1TeV.hepmc3.gz,226.98,16,86.43,FastJet,CA,N2Tiled,0.2
events-pp-2TeV.hepmc3.gz,226.98,16,86.59,FastJet,CA,N2Tiled,0.2
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,115.52,FastJet,CA,N2Tiled,0.2
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,163.57,FastJet,CA,N2Tiled,0.2
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,216.85,FastJet,CA,N2Tiled,0.2
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,292.61,FastJet,CA,N2Tiled,0.2
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,334.67,FastJet,CA,N2Tiled,0.2
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,407.46,FastJet,CA,N2Tiled,0.2
events-ee-Z.hepmc3.gz,43.05,16,22.99333,Julia,AntiKt,N2Tiled,3.0
events-ee-H.hepmc3.gz,64.97,16,38.0525,Julia,AntiKt,N2Tiled,3.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,74.93916,Julia,AntiKt,N2Tiled,3.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,117.98917,Julia,AntiKt,N2Tiled,3.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,149.64791000000002,Julia,AntiKt,N2Tiled,3.0
events-pp-1TeV.hepmc3.gz,226.98,16,193.82333,Julia,AntiKt,N2Tiled,3.0
events-pp-2TeV.hepmc3.gz,226.98,16,193.12666000000002,Julia,AntiKt,N2Tiled,3.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,263.19334,Julia,AntiKt,N2Tiled,3.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,367.815,Julia,AntiKt,N2Tiled,3.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,482.8775,Julia,AntiKt,N2Tiled,3.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,645.52542,Julia,AntiKt,N2Tiled,3.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,744.7916700000001,Julia,AntiKt,N2Tiled,3.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,865.26959,Julia,AntiKt,N2Tiled,3.0
events-ee-Z.hepmc3.gz,43.05,16,11.86042,Julia,AntiKt,N2Tiled,0.2
events-ee-H.hepmc3.gz,64.97,16,21.65916,Julia,AntiKt,N2Tiled,0.2
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,20.92208,Julia,AntiKt,N2Tiled,0.2
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,30.7575,Julia,AntiKt,N2Tiled,0.2
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,36.82166,Julia,AntiKt,N2Tiled,0.2
events-pp-1TeV.hepmc3.gz,226.98,16,50.06584,Julia,AntiKt,N2Tiled,0.2
events-pp-2TeV.hepmc3.gz,226.98,16,50.31167000000001,Julia,AntiKt,N2Tiled,0.2
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,62.74125,Julia,AntiKt,N2Tiled,0.2
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,87.43333000000001,Julia,AntiKt,N2Tiled,0.2
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,119.49167,Julia,AntiKt,N2Tiled,0.2
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,157.52791000000002,Julia,AntiKt,N2Tiled,0.2
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,183.01458,Julia,AntiKt,N2Tiled,0.2
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,208.07375,Julia,AntiKt,N2Tiled,0.2
events-ee-Z.hepmc3.gz,43.05,16,20.59,FastJet,CA,N2Tiled,1.5
events-ee-H.hepmc3.gz,64.97,16,33.76,FastJet,CA,N2Tiled,1.5
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,63.03,FastJet,CA,N2Tiled,1.5
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,99.36,FastJet,CA,N2Tiled,1.5
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,125.22,FastJet,CA,N2Tiled,1.5
events-pp-1TeV.hepmc3.gz,226.98,16,162.53,FastJet,CA,N2Tiled,1.5
events-pp-2TeV.hepmc3.gz,226.98,16,162.51,FastJet,CA,N2Tiled,1.5
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,220.7,FastJet,CA,N2Tiled,1.5
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,309.38,FastJet,CA,N2Tiled,1.5
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,409.7,FastJet,CA,N2Tiled,1.5
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,549.71,FastJet,CA,N2Tiled,1.5
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,618.19,FastJet,CA,N2Tiled,1.5
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,747.73,FastJet,CA,N2Tiled,1.5
events-ee-Z.hepmc3.gz,43.05,16,19.07,FastJet,Kt,N2Tiled,1.0
events-ee-H.hepmc3.gz,64.97,16,31.75,FastJet,Kt,N2Tiled,1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,54.52,FastJet,Kt,N2Tiled,1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,86.0,FastJet,Kt,N2Tiled,1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,107.81,FastJet,Kt,N2Tiled,1.0
events-pp-1TeV.hepmc3.gz,226.98,16,140.81,FastJet,Kt,N2Tiled,1.0
events-pp-2TeV.hepmc3.gz,226.98,16,140.67,FastJet,Kt,N2Tiled,1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,189.41,FastJet,Kt,N2Tiled,1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,264.42,FastJet,Kt,N2Tiled,1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,348.6,FastJet,Kt,N2Tiled,1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,463.53,FastJet,Kt,N2Tiled,1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,520.62,FastJet,Kt,N2Tiled,1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,627.45,FastJet,Kt,N2Tiled,1.0
events-ee-Z.hepmc3.gz,43.05,16,21.34,FastJet,Kt,N2Tiled,3.0
events-ee-H.hepmc3.gz,64.97,16,35.66,FastJet,Kt,N2Tiled,3.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,76.64,FastJet,Kt,N2Tiled,3.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,123.27,FastJet,Kt,N2Tiled,3.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,158.29,FastJet,Kt,N2Tiled,3.0
events-pp-1TeV.hepmc3.gz,226.98,16,207.1,FastJet,Kt,N2Tiled,3.0
events-pp-2TeV.hepmc3.gz,226.98,16,206.73,FastJet,Kt,N2Tiled,3.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,290.33,FastJet,Kt,N2Tiled,3.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,413.96,FastJet,Kt,N2Tiled,3.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,553.32,FastJet,Kt,N2Tiled,3.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,763.01,FastJet,Kt,N2Tiled,3.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,858.68,FastJet,Kt,N2Tiled,3.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1064.8,FastJet,Kt,N2Tiled,3.0
events-ee-Z.hepmc3.gz,43.05,16,19.02,FastJet,Kt,N2Plain,0.2
events-ee-H.hepmc3.gz,64.97,16,35.04,FastJet,Kt,N2Plain,0.2
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,363.62,FastJet,Kt,N2Plain,0.2
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,930.61,FastJet,Kt,N2Plain,0.2
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,1631.79,FastJet,Kt,N2Plain,0.2
events-pp-1TeV.hepmc3.gz,226.98,16,2033.56,FastJet,Kt,N2Plain,0.2
events-pp-2TeV.hepmc3.gz,226.98,16,2034.65,FastJet,Kt,N2Plain,0.2
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,4384.16,FastJet,Kt,N2Plain,0.2
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,7165.19,FastJet,Kt,N2Plain,0.2
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,10969.9,FastJet,Kt,N2Plain,0.2
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,17528.1,FastJet,Kt,N2Plain,0.2
