File,mean_particles,File_path,n_samples,time_per_event
events-ee-Z.hepmc3,43.05,../data/events-ee-Z.hepmc3,16,11.99
events-ee-H.hepmc3,64.97,../data/events-ee-H.hepmc3,16,22.62
events-pp-0.5TeV-5GeV.hepmc3,112.62,../data/events-pp-0.5TeV-5GeV.hepmc3,16,142.72
events-pp-1TeV-5GeV.hepmc3,160.36,../data/events-pp-1TeV-5GeV.hepmc3,16,295.91
events-pp-2TeV-5Gev.hepmc3,188.21,../data/events-pp-2TeV-5Gev.hepmc3,16,435.78
events-pp-1TeV.hepmc3,226.98,../data/events-pp-1TeV.hepmc3,16,524.99
events-pp-2TeV.hepmc3,226.98,../data/events-pp-2TeV.hepmc3,16,524.85
events-pp-5TeV-10GeV.hepmc3,284.15,../data/events-pp-5TeV-10GeV.hepmc3,16,907.49
events-pp-8TeV-20GeV.hepmc3,354.18,../data/events-pp-8TeV-20GeV.hepmc3,16,1287.65
events-pp-13TeV-20GeV.hepmc,431.18,../data/events-pp-13TeV-20GeV.hepmc,16,1879.34
events-pp-20TeV-20GeV.hepmc3,524.59,../data/events-pp-20TeV-20GeV.hepmc3,16,2614.11
events-pp-20TeV-50GeV.hepmc3,553.64,../data/events-pp-20TeV-50GeV.hepmc3,16,2545.61
events-pp-30TeV-50GeV.hepmc3,632.29,../data/events-pp-30TeV-50GeV.hepmc3,16,3282.16
