File,mean_particles,File_path,n_samples,time_per_event
events-ee-Z.hepmc3,43.05,../data/events-ee-Z.hepmc3,16,13.81
events-ee-H.hepmc3,64.97,../data/events-ee-H.hepmc3,16,24.47
events-pp-0.5TeV-5GeV.hepmc3,112.62,../data/events-pp-0.5TeV-5GeV.hepmc3,16,31.38
events-pp-1TeV-5GeV.hepmc3,160.36,../data/events-pp-1TeV-5GeV.hepmc3,16,51.28
events-pp-2TeV-5Gev.hepmc3,188.21,../data/events-pp-2TeV-5Gev.hepmc3,16,66.91
events-pp-1TeV.hepmc3,226.98,../data/events-pp-1TeV.hepmc3,16,90.91
events-pp-2TeV.hepmc3,226.98,../data/events-pp-2TeV.hepmc3,16,91.07
events-pp-5TeV-10GeV.hepmc3,284.15,../data/events-pp-5TeV-10GeV.hepmc3,16,124.71
events-pp-8TeV-20GeV.hepmc3,354.18,../data/events-pp-8TeV-20GeV.hepmc3,16,183.02
events-pp-13TeV-20GeV.hepmc,431.18,../data/events-pp-13TeV-20GeV.hepmc,16,245.83
events-pp-20TeV-20GeV.hepmc3,524.59,../data/events-pp-20TeV-20GeV.hepmc3,16,335.5
events-pp-20TeV-50GeV.hepmc3,553.64,../data/events-pp-20TeV-50GeV.hepmc3,16,378.1
events-pp-30TeV-50GeV.hepmc3,632.29,../data/events-pp-30TeV-50GeV.hepmc3,16,461.25
