file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R,p
events-ee-Z.hepmc3.gz,43.05,16,20.08,FastJet,EEKt,Best,1.0,0.0
events-ee-120.hepmc3.gz,47.08,16,22.36,FastJet,EEKt,Best,1.0,0.0
events-ee-150.hepmc3.gz,51.57,16,24.49,FastJet,EEKt,Best,1.0,0.0
events-ee-200.hepmc3.gz,55.9,16,27.29,FastJet,EEKt,Best,1.0,0.0
events-ee-230.hepmc3.gz,60.82,16,29.84,FastJet,EEKt,Best,1.0,0.0
events-ee-H.hepmc3.gz,64.97,16,32.56,FastJet,EEKt,Best,1.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,21.47,FastJet,EEKt,Best,1.5,0.0
events-ee-120.hepmc3.gz,47.08,16,23.84,FastJet,EEKt,Best,1.5,0.0
events-ee-150.hepmc3.gz,51.57,16,26.18,FastJet,EEKt,Best,1.5,0.0
events-ee-200.hepmc3.gz,55.9,16,29.3,FastJet,EEKt,Best,1.5,0.0
events-ee-230.hepmc3.gz,60.82,16,31.95,FastJet,EEKt,Best,1.5,0.0
events-ee-H.hepmc3.gz,64.97,16,34.95,FastJet,EEKt,Best,1.5,0.0
events-ee-Z.hepmc3.gz,43.05,16,15.011230000000001,Julia,EEKt,Best,2.0,0.0
events-ee-120.hepmc3.gz,47.08,16,17.30881,Julia,EEKt,Best,2.0,0.0
events-ee-150.hepmc3.gz,51.57,16,19.1281,Julia,EEKt,Best,2.0,0.0
events-ee-200.hepmc3.gz,55.9,16,23.00734,Julia,EEKt,Best,2.0,0.0
events-ee-230.hepmc3.gz,60.82,16,25.03733,Julia,EEKt,Best,2.0,0.0
events-ee-H.hepmc3.gz,64.97,16,28.6627,Julia,EEKt,Best,2.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,10.64847,Julia,EEKt,Best,0.2,-1.0
events-ee-120.hepmc3.gz,47.08,16,12.48932,Julia,EEKt,Best,0.2,-1.0
events-ee-150.hepmc3.gz,51.57,16,13.94644,Julia,EEKt,Best,0.2,-1.0
events-ee-200.hepmc3.gz,55.9,16,16.00407,Julia,EEKt,Best,0.2,-1.0
events-ee-230.hepmc3.gz,60.82,16,17.25702,Julia,EEKt,Best,0.2,-1.0
events-ee-H.hepmc3.gz,64.97,16,19.11578,Julia,EEKt,Best,0.2,-1.0
events-ee-Z.hepmc3.gz,43.05,16,19.54,FastJet,EEKt,Best,1.0,1.0
events-ee-120.hepmc3.gz,47.08,16,21.75,FastJet,EEKt,Best,1.0,1.0
events-ee-150.hepmc3.gz,51.57,16,23.72,FastJet,EEKt,Best,1.0,1.0
events-ee-200.hepmc3.gz,55.9,16,26.56,FastJet,EEKt,Best,1.0,1.0
events-ee-230.hepmc3.gz,60.82,16,29.12,FastJet,EEKt,Best,1.0,1.0
events-ee-H.hepmc3.gz,64.97,16,31.6,FastJet,EEKt,Best,1.0,1.0
