FileName,mean_particles,n_samples,time_per_event
events-ee-Z.hepmc3,43.05,15,17.122904459635418
events-ee-H.hepmc3,64.97,15,17.805735270182293
events-pp-0.5TeV-5GeV.hepmc3,112.62,15,52.120208740234375
events-pp-1TeV-5GeV.hepmc3,160.36,15,74.44111506144205
events-pp-2TeV-5GeV.hepmc3,188.21,15,86.50048573811848
events-pp-1TeV.hepmc3,226.98,15,92.79918670654297
events-pp-2TeV.hepmc3,226.98,15,99.5783805847168
events-pp-5TeV-10GeV.hepmc3,284.15,15,130.862553914388
events-pp-8TeV-20GeV.hepmc3,354.18,15,159.78399912516275
events-pp-13TeV-20GeV.hepmc,431.18,15,191.40847524007162
events-pp-20TeV-20GeV.hepmc3,524.59,15,218.99970372517905
events-pp-20TeV-50GeV.hepmc3,553.64,15,215.73607126871744
events-pp-30TeV-50GeV.hepmc3,632.29,15,240.2504285176595
