File,mean_particles,File_path,n_samples,filter_time,trimming_time,massdrop_time,softdrop_time
events-ee-Z.hepmc3,43.05,data/events-ee-Z.hepmc3,64,15.59915968749997,15.670389843749998,3.9462178124999783,21.04360921875001
events-ee-H.hepmc3,64.97,data/events-ee-H.hepmc3,64,20.888718593749985,18.95322421875002,1.1230853124999973,19.91287171875001
events-pp-0.5TeV-5GeV.hepmc3,112.62,data/events-pp-0.5TeV-5GeV.hepmc3,64,13.184075937499975,8.413966875000014,0.728077343750001,8.732079843749995
events-pp-1TeV-5GeV.hepmc3,160.36,data/events-pp-1TeV-5GeV.hepmc3,64,13.130987656250008,12.324781093750012,0.9195385937499929,13.072582812500022
events-pp-2TeV-5Gev.hepmc3,188.21,data/events-pp-2TeV-5Gev.hepmc3,64,17.45819015625002,16.335569218749942,1.1352467187500024,16.883779843750023
events-pp-2TeV.hepmc3,226.98,data/events-pp-2TeV.hepmc3,64,32.50468906249993,30.506266718750066,1.851252187499991,31.054755312499946
events-pp-5TeV-10GeV.hepmc3,284.15,data/events-pp-5TeV-10GeV.hepmc3,64,37.80520406249988,35.01100218749991,2.7870149999999967,35.95998749999996
events-pp-8TeV-20GeV.hepmc3,354.18,data/events-pp-8TeV-20GeV.hepmc3,64,53.90867046875003,51.16201843750005,3.4145453125000054,53.37246406250001
events-pp-13TeV-20GeV.hepmc,431.18,data/events-pp-13TeV-20GeV.hepmc,64,72.75074046875007,69.71414578124988,4.7700040625,72.24165843750012
events-pp-20TeV-20GeV.hepmc3,524.59,data/events-pp-20TeV-20GeV.hepmc3,64,93.9936715625003,88.96339999999957,5.81801218750001,93.2040337500004
events-pp-20TeV-50GeV.hepmc3,553.64,data/events-pp-20TeV-50GeV.hepmc3,64,113.35951578125017,107.76631093749981,6.464867031250009,110.36049906249966
events-pp-30TeV-50GeV.hepmc3,632.29,data/events-pp-30TeV-50GeV.hepmc3,64,133.81858359374988,125.80887359375002,8.06506562500001,128.78066140624998
