file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R
events-ee-Z.hepmc3.gz,43.05,16,25.91187,Julia,EEKt,Best,4.0
events-ee-H.hepmc3.gz,64.97,16,46.76288,Julia,EEKt,Best,4.0
events-ee-Z.hepmc3.gz,43.05,16,21.08455,Julia,EEKt,Best,0.4
events-ee-H.hepmc3.gz,64.97,16,38.296170000000004,Julia,EEKt,Best,0.4
events-ee-Z.hepmc3.gz,43.05,16,20.39,FastJet,EEKt,Best,4.0
events-ee-H.hepmc3.gz,64.97,16,36.71,FastJet,EEKt,Best,4.0
events-ee-Z.hepmc3.gz,43.05,16,18.01,FastJet,EEKt,Best,0.4
events-ee-H.hepmc3.gz,64.97,16,27.92,FastJet,EEKt,Best,0.4
events-ee-Z.hepmc3.gz,43.05,16,26.33475,Julia,EEKt,Best,2.0
events-ee-H.hepmc3.gz,64.97,16,46.86228,Julia,EEKt,Best,2.0
events-ee-Z.hepmc3.gz,43.05,16,20.748730000000002,Julia,Durham,Best,0.4
events-ee-H.hepmc3.gz,64.97,16,38.306599999999996,Julia,Durham,Best,0.4
events-ee-Z.hepmc3.gz,43.05,16,22.67,FastJet,EEKt,Best,0.2
events-ee-H.hepmc3.gz,64.97,16,29.5,FastJet,EEKt,Best,0.2
events-ee-Z.hepmc3.gz,43.05,16,20.67,FastJet,EEKt,Best,2.0
events-ee-H.hepmc3.gz,64.97,16,37.14,FastJet,EEKt,Best,2.0
events-ee-Z.hepmc3.gz,43.05,16,20.93,FastJet,EEKt,Best,1.5
events-ee-H.hepmc3.gz,64.97,16,34.02,FastJet,EEKt,Best,1.5
events-ee-Z.hepmc3.gz,43.05,16,26.13799,Julia,EEKt,Best,1.5
events-ee-H.hepmc3.gz,64.97,16,46.32407,Julia,EEKt,Best,1.5
events-ee-Z.hepmc3.gz,43.05,16,16.85747,Julia,EEKt,Best,0.2
events-ee-H.hepmc3.gz,64.97,16,31.9287,Julia,EEKt,Best,0.2
events-ee-Z.hepmc3.gz,43.05,16,19.62,FastJet,EEKt,Best,1.0
events-ee-H.hepmc3.gz,64.97,16,31.62,FastJet,EEKt,Best,1.0
events-ee-Z.hepmc3.gz,43.05,16,24.613139999999998,Julia,EEKt,Best,1.0
events-ee-H.hepmc3.gz,64.97,16,43.62182,Julia,EEKt,Best,1.0
events-ee-Z.hepmc3.gz,43.05,16,18.03,FastJet,Durham,Best,0.4
events-ee-H.hepmc3.gz,64.97,16,27.98,FastJet,Durham,Best,0.4
