file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R
events-ee-Z.hepmc3.gz,43.05,16,35.53757,Julia,Kt,N2Tiled,3.0
events-ee-H.hepmc3.gz,64.97,16,56.725,Julia,Kt,N2Tiled,3.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,113.73063,Julia,Kt,N2Tiled,3.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,175.86584,Julia,Kt,N2Tiled,3.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,222.4084,Julia,Kt,N2Tiled,3.0
events-pp-1TeV.hepmc3.gz,226.98,16,287.67036,Julia,Kt,N2Tiled,3.0
events-pp-2TeV.hepmc3.gz,226.98,16,286.53965,Julia,Kt,N2Tiled,3.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,397.74996,Julia,Kt,N2Tiled,3.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,601.93367,Julia,Kt,N2Tiled,3.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,811.22873,Julia,Kt,N2Tiled,3.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,1116.7220399999999,Julia,Kt,N2Tiled,3.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1282.46155,Julia,Kt,N2Tiled,3.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1562.77124,Julia,Kt,N2Tiled,3.0
events-ee-Z.hepmc3.gz,43.05,16,19.48,FastJet,AntiKt,N2Tiled,1.0
events-ee-H.hepmc3.gz,64.97,16,30.79,FastJet,AntiKt,N2Tiled,1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,52.12,FastJet,AntiKt,N2Tiled,1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,79.72,FastJet,AntiKt,N2Tiled,1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,98.09,FastJet,AntiKt,N2Tiled,1.0
events-pp-1TeV.hepmc3.gz,226.98,16,124.02,FastJet,AntiKt,N2Tiled,1.0
events-pp-2TeV.hepmc3.gz,226.98,16,123.84,FastJet,AntiKt,N2Tiled,1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,162.52,FastJet,AntiKt,N2Tiled,1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,219.24,FastJet,AntiKt,N2Tiled,1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,281.5,FastJet,AntiKt,N2Tiled,1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,365.52,FastJet,AntiKt,N2Tiled,1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,406.21,FastJet,AntiKt,N2Tiled,1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,480.82,FastJet,AntiKt,N2Tiled,1.0
events-ee-Z.hepmc3.gz,43.05,16,21.52,FastJet,CA,N2Plain,3.0
events-ee-H.hepmc3.gz,64.97,16,38.1,FastJet,CA,N2Plain,3.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,98.88,FastJet,CA,N2Plain,3.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,176.87,FastJet,CA,N2Plain,3.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,245.95,FastJet,CA,N2Plain,3.0
events-pp-1TeV.hepmc3.gz,226.98,16,318.2,FastJet,CA,N2Plain,3.0
events-pp-2TeV.hepmc3.gz,226.98,16,318.48,FastJet,CA,N2Plain,3.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,489.0,FastJet,CA,N2Plain,3.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,736.26,FastJet,CA,N2Plain,3.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,1035.24,FastJet,CA,N2Plain,3.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,1485.41,FastJet,CA,N2Plain,3.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1665.01,FastJet,CA,N2Plain,3.0
