file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R,p
events-ee-Z.hepmc3.gz,43.05,16,20.09,FastJet,EEKt,Best,1.0,0.0
events-ee-H.hepmc3.gz,64.97,16,32.51,FastJet,EEKt,Best,1.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,21.54,FastJet,EEKt,Best,1.5,0.0
events-ee-H.hepmc3.gz,64.97,16,35.05,FastJet,EEKt,Best,1.5,0.0
events-ee-Z.hepmc3.gz,43.05,16,15.051300000000001,Julia,EEKt,Best,2.0,0.0
events-ee-H.hepmc3.gz,64.97,16,30.048000000000002,Julia,EEKt,Best,2.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,10.43298,Julia,EEKt,Best,0.2,-1.0
events-ee-H.hepmc3.gz,64.97,16,22.609209999999997,Julia,EEKt,Best,0.2,-1.0
events-ee-Z.hepmc3.gz,43.05,16,19.53,FastJet,EEKt,Best,1.0,1.0
events-ee-H.hepmc3.gz,64.97,16,31.64,FastJet,EEKt,Best,1.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,19.4,FastJet,EEKt,Best,1.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,30.93,FastJet,EEKt,Best,1.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,15.19146,Julia,EEKt,Best,2.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,29.263540000000003,Julia,EEKt,Best,2.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,20.98,FastJet,EEKt,Best,1.5,1.0
events-ee-H.hepmc3.gz,64.97,16,34.04,FastJet,EEKt,Best,1.5,1.0
events-ee-Z.hepmc3.gz,43.05,16,19.94,FastJet,EEKt,Best,2.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,34.99,FastJet,EEKt,Best,2.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,12.6423,Julia,EEKt,Best,0.4,-1.0
events-ee-H.hepmc3.gz,64.97,16,23.83569,Julia,EEKt,Best,0.4,-1.0
events-ee-Z.hepmc3.gz,43.05,16,22.68,FastJet,EEKt,Best,0.2,1.0
events-ee-H.hepmc3.gz,64.97,16,29.5,FastJet,EEKt,Best,0.2,1.0
events-ee-Z.hepmc3.gz,43.05,16,14.810350000000001,Julia,EEKt,Best,1.0,1.0
