file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R
events-ee-Z.hepmc3.gz,43.05,16,37.34747,Julia,AntiKt,N2Tiled,3.0
events-ee-H.hepmc3.gz,64.97,16,62.80166,Julia,AntiKt,N2Tiled,3.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,125.48022,Julia,AntiKt,N2Tiled,3.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,202.93132000000003,Julia,AntiKt,N2Tiled,3.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,261.78366,Julia,AntiKt,N2Tiled,3.0
events-pp-1TeV.hepmc3.gz,226.98,16,341.69751,Julia,AntiKt,N2Tiled,3.0
events-pp-2TeV.hepmc3.gz,226.98,16,342.17646,Julia,AntiKt,N2Tiled,3.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,474.28454,Julia,AntiKt,N2Tiled,3.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,687.86894,Julia,AntiKt,N2Tiled,3.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,956.9656600000001,Julia,AntiKt,N2Tiled,3.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,1288.01569,Julia,AntiKt,N2Tiled,3.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1496.5164000000002,Julia,AntiKt,N2Tiled,3.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1776.47634,Julia,AntiKt,N2Tiled,3.0
events-ee-Z.hepmc3.gz,43.05,16,24.16562,Julia,CA,N2Tiled,0.4
events-ee-H.hepmc3.gz,64.97,16,42.419470000000004,Julia,CA,N2Tiled,0.4
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,45.867399999999996,Julia,CA,N2Tiled,0.4
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,72.7835,Julia,CA,N2Tiled,0.4
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,91.38712,Julia,CA,N2Tiled,0.4
events-pp-1TeV.hepmc3.gz,226.98,16,123.00888,Julia,CA,N2Tiled,0.4
events-pp-2TeV.hepmc3.gz,226.98,16,121.87452000000002,Julia,CA,N2Tiled,0.4
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,154.96675000000002,Julia,CA,N2Tiled,0.4
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,218.14516,Julia,CA,N2Tiled,0.4
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,289.28939,Julia,CA,N2Tiled,0.4
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,368.48728000000006,Julia,CA,N2Tiled,0.4
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,450.53713000000005,Julia,CA,N2Tiled,0.4
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,521.1848600000001,Julia,CA,N2Tiled,0.4
events-ee-Z.hepmc3.gz,43.05,16,29.15,FastJet,Kt,N2Plain,1.0
events-ee-H.hepmc3.gz,64.97,16,52.88,FastJet,Kt,N2Plain,1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,143.07,FastJet,Kt,N2Plain,1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,260.52,FastJet,Kt,N2Plain,1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,370.71,FastJet,Kt,N2Plain,1.0
events-pp-1TeV.hepmc3.gz,226.98,16,480.63,FastJet,Kt,N2Plain,1.0
events-pp-2TeV.hepmc3.gz,226.98,16,481.5,FastJet,Kt,N2Plain,1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,756.45,FastJet,Kt,N2Plain,1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,1149.87,FastJet,Kt,N2Plain,1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,1629.73,FastJet,Kt,N2Plain,1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,2341.79,FastJet,Kt,N2Plain,1.0
