file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R,p
events-ee-Z.hepmc3.gz,43.05,16,20.12,FastJet,EEKt,Best,1.0,0.0
events-ee-H.hepmc3.gz,64.97,16,32.44,FastJet,EEKt,Best,1.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,21.45,FastJet,EEKt,Best,1.5,0.0
events-ee-H.hepmc3.gz,64.97,16,34.99,FastJet,EEKt,Best,1.5,0.0
events-ee-Z.hepmc3.gz,43.05,16,25.37745,Julia,EEKt,Best,2.0,0.0
events-ee-H.hepmc3.gz,64.97,16,46.43464,Julia,EEKt,Best,2.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,19.51,FastJet,EEKt,Best,1.0,1.0
events-ee-H.hepmc3.gz,64.97,16,31.65,FastJet,EEKt,Best,1.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,20.99,FastJet,EEKt,Best,1.5,1.0
events-ee-H.hepmc3.gz,64.97,16,34.03,FastJet,EEKt,Best,1.5,1.0
events-ee-Z.hepmc3.gz,43.05,16,22.62,FastJet,EEKt,Best,0.2,1.0
events-ee-H.hepmc3.gz,64.97,16,29.47,FastJet,EEKt,Best,0.2,1.0
events-ee-Z.hepmc3.gz,43.05,16,24.70058,Julia,EEKt,Best,1.0,1.0
events-ee-H.hepmc3.gz,64.97,16,43.70765,Julia,EEKt,Best,1.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,21.24,FastJet,EEKt,Best,4.0,0.0
events-ee-H.hepmc3.gz,64.97,16,38.52,FastJet,EEKt,Best,4.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,21.61,FastJet,EEKt,Best,2.0,0.0
events-ee-H.hepmc3.gz,64.97,16,38.9,FastJet,EEKt,Best,2.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,16.61871,Julia,EEKt,Best,0.2,1.0
events-ee-H.hepmc3.gz,64.97,16,31.686120000000003,Julia,EEKt,Best,0.2,1.0
events-ee-Z.hepmc3.gz,43.05,16,20.36118,Julia,EEKt,Best,0.4,1.0
events-ee-H.hepmc3.gz,64.97,16,37.43114,Julia,EEKt,Best,0.4,1.0
events-ee-Z.hepmc3.gz,43.05,16,20.39,FastJet,Durham,Best,4.0,1.0
events-ee-H.hepmc3.gz,64.97,16,36.65,FastJet,Durham,Best,4.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,25.79182,Julia,EEKt,Best,1.5,1.0
events-ee-H.hepmc3.gz,64.97,16,45.484759999999994,Julia,EEKt,Best,1.5,1.0
events-ee-Z.hepmc3.gz,43.05,16,18.34,FastJet,EEKt,Best,0.4,0.0
events-ee-H.hepmc3.gz,64.97,16,28.44,FastJet,EEKt,Best,0.4,0.0
events-ee-Z.hepmc3.gz,43.05,16,20.41,FastJet,EEKt,Best,4.0,1.0
events-ee-H.hepmc3.gz,64.97,16,36.68,FastJet,EEKt,Best,4.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,24.20085,Julia,EEKt,Best,1.0,0.0
events-ee-H.hepmc3.gz,64.97,16,43.006840000000004,Julia,EEKt,Best,1.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,22.45,FastJet,EEKt,Best,0.2,0.0
events-ee-H.hepmc3.gz,64.97,16,29.71,FastJet,EEKt,Best,0.2,0.0
events-ee-Z.hepmc3.gz,43.05,16,18.05,FastJet,EEKt,Best,0.4,1.0
events-ee-H.hepmc3.gz,64.97,16,27.94,FastJet,EEKt,Best,0.4,1.0
events-ee-Z.hepmc3.gz,43.05,16,24.69949,Julia,EEKt,Best,1.5,0.0
events-ee-H.hepmc3.gz,64.97,16,44.92862,Julia,EEKt,Best,1.5,0.0
events-ee-Z.hepmc3.gz,43.05,16,25.724890000000002,Julia,EEKt,Best,4.0,1.0
events-ee-H.hepmc3.gz,64.97,16,46.019059999999996,Julia,EEKt,Best,4.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,25.75335,Julia,EEKt,Best,4.0,0.0
events-ee-H.hepmc3.gz,64.97,16,46.69883,Julia,EEKt,Best,4.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,20.68,FastJet,EEKt,Best,2.0,1.0
events-ee-H.hepmc3.gz,64.97,16,37.34,FastJet,EEKt,Best,2.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,26.23635,Julia,Durham,Best,4.0,1.0
events-ee-H.hepmc3.gz,64.97,16,46.30088,Julia,Durham,Best,4.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,19.84081,Julia,EEKt,Best,0.4,0.0
events-ee-H.hepmc3.gz,64.97,16,36.69827,Julia,EEKt,Best,0.4,0.0
events-ee-Z.hepmc3.gz,43.05,16,25.897820000000003,Julia,EEKt,Best,2.0,1.0
events-ee-H.hepmc3.gz,64.97,16,46.06715,Julia,EEKt,Best,2.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,15.77914,Julia,EEKt,Best,0.2,0.0
events-ee-H.hepmc3.gz,64.97,16,30.93532,Julia,EEKt,Best,0.2,0.0
