file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R,p
events-ee-Z.hepmc3.gz,43.05,16,30.12,FastJet,EEKt,Best,1.0,0.0
events-ee-H.hepmc3.gz,64.97,16,49.19,FastJet,EEKt,Best,1.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,32.26,FastJet,EEKt,Best,1.5,0.0
events-ee-H.hepmc3.gz,64.97,16,53.54,FastJet,EEKt,Best,1.5,0.0
events-ee-Z.hepmc3.gz,43.05,16,44.13801,Julia,EEKt,Best,2.0,0.0
events-ee-H.hepmc3.gz,64.97,16,79.16978,Julia,EEKt,Best,2.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,29.42,FastJet,EEKt,Best,1.0,1.0
events-ee-H.hepmc3.gz,64.97,16,48.05,FastJet,EEKt,Best,1.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,29.52143,Julia,EEKt,Best,0.2,-1.0
events-ee-H.hepmc3.gz,64.97,16,55.20231,Julia,EEKt,Best,0.2,-1.0
events-ee-Z.hepmc3.gz,43.05,16,29.8,FastJet,EEKt,Best,1.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,47.59,FastJet,EEKt,Best,1.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,31.41,FastJet,EEKt,Best,1.5,1.0
events-ee-H.hepmc3.gz,64.97,16,51.91,FastJet,EEKt,Best,1.5,1.0
events-ee-Z.hepmc3.gz,43.05,16,45.59886,Julia,EEKt,Best,2.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,80.8004,Julia,EEKt,Best,2.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,30.01,FastJet,EEKt,Best,2.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,53.62,FastJet,EEKt,Best,2.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,36.49,FastJet,EEKt,Best,0.2,1.0
events-ee-H.hepmc3.gz,64.97,16,48.55,FastJet,EEKt,Best,0.2,1.0
events-ee-Z.hepmc3.gz,43.05,16,36.60955,Julia,EEKt,Best,0.4,-1.0
events-ee-H.hepmc3.gz,64.97,16,64.58335,Julia,EEKt,Best,0.4,-1.0
events-ee-Z.hepmc3.gz,43.05,16,42.37684,Julia,EEKt,Best,1.0,1.0
events-ee-H.hepmc3.gz,64.97,16,73.15962999999999,Julia,EEKt,Best,1.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,44.73936,Julia,EEKt,Best,1.5,-1.0
events-ee-H.hepmc3.gz,64.97,16,77.79316,Julia,EEKt,Best,1.5,-1.0
events-ee-Z.hepmc3.gz,43.05,16,31.49,FastJet,EEKt,Best,4.0,0.0
events-ee-H.hepmc3.gz,64.97,16,57.35,FastJet,EEKt,Best,4.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,31.79,FastJet,EEKt,Best,2.0,0.0
events-ee-H.hepmc3.gz,64.97,16,57.81,FastJet,EEKt,Best,2.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,29.218510000000002,Julia,EEKt,Best,0.2,1.0
events-ee-H.hepmc3.gz,64.97,16,54.15923,Julia,EEKt,Best,0.2,1.0
events-ee-Z.hepmc3.gz,43.05,16,35.62873,Julia,EEKt,Best,0.4,1.0
events-ee-H.hepmc3.gz,64.97,16,63.71714,Julia,EEKt,Best,0.4,1.0
events-ee-Z.hepmc3.gz,43.05,16,30.17,FastJet,Durham,Best,4.0,1.0
events-ee-H.hepmc3.gz,64.97,16,54.75,FastJet,Durham,Best,4.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,28.55,FastJet,EEKt,Best,0.4,-1.0
events-ee-H.hepmc3.gz,64.97,16,43.65,FastJet,EEKt,Best,0.4,-1.0
events-ee-Z.hepmc3.gz,43.05,16,44.02097,Julia,EEKt,Best,1.5,1.0
events-ee-H.hepmc3.gz,64.97,16,76.17409,Julia,EEKt,Best,1.5,1.0
events-ee-Z.hepmc3.gz,43.05,16,43.186099999999996,Julia,EEKt,Best,1.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,74.15272,Julia,EEKt,Best,1.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,28.45,FastJet,EEKt,Best,0.4,0.0
events-ee-H.hepmc3.gz,64.97,16,44.17,FastJet,EEKt,Best,0.4,0.0
events-ee-Z.hepmc3.gz,43.05,16,30.2,FastJet,EEKt,Best,4.0,1.0
events-ee-H.hepmc3.gz,64.97,16,54.6,FastJet,EEKt,Best,4.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,41.935550000000006,Julia,EEKt,Best,1.0,0.0
events-ee-H.hepmc3.gz,64.97,16,72.94676,Julia,EEKt,Best,1.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,37.32,FastJet,EEKt,Best,0.2,-1.0
events-ee-H.hepmc3.gz,64.97,16,48.87,FastJet,EEKt,Best,0.2,-1.0
events-ee-Z.hepmc3.gz,43.05,16,36.41,FastJet,EEKt,Best,0.2,0.0
events-ee-H.hepmc3.gz,64.97,16,48.67,FastJet,EEKt,Best,0.2,0.0
events-ee-Z.hepmc3.gz,43.05,16,28.0,FastJet,EEKt,Best,0.4,1.0
events-ee-H.hepmc3.gz,64.97,16,43.37,FastJet,EEKt,Best,0.4,1.0
events-ee-Z.hepmc3.gz,43.05,16,43.052150000000005,Julia,EEKt,Best,1.5,0.0
events-ee-H.hepmc3.gz,64.97,16,77.59955,Julia,EEKt,Best,1.5,0.0
events-ee-Z.hepmc3.gz,43.05,16,44.46351,Julia,EEKt,Best,4.0,1.0
events-ee-H.hepmc3.gz,64.97,16,77.69306999999999,Julia,EEKt,Best,4.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,44.475,Julia,EEKt,Best,4.0,0.0
events-ee-H.hepmc3.gz,64.97,16,78.68833000000001,Julia,EEKt,Best,4.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,46.08446,Julia,EEKt,Best,4.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,80.23745,Julia,EEKt,Best,4.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,30.51,FastJet,EEKt,Best,2.0,1.0
