file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R,p
events-ee-Z.hepmc3.gz,43.05,16,22.04875,Julia,EEKt,Best,1.0,1.0
events-ee-H.hepmc3.gz,64.97,16,40.72959,Julia,EEKt,Best,1.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,22.4025,Julia,EEKt,Best,4.0,1.0
events-ee-H.hepmc3.gz,64.97,16,41.2575,Julia,EEKt,Best,4.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,20.09,FastJet,EEKt,Best,1.5,1.0
events-ee-H.hepmc3.gz,64.97,16,33.97,FastJet,EEKt,Best,1.5,1.0
events-ee-Z.hepmc3.gz,43.05,16,20.1,FastJet,EEKt,Best,1.5,0.0
events-ee-H.hepmc3.gz,64.97,16,34.06,FastJet,EEKt,Best,1.5,0.0
events-ee-Z.hepmc3.gz,43.05,16,14.53,FastJet,EEKt,Best,4.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,28.36,FastJet,EEKt,Best,4.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,22.45125,Julia,EEKt,Best,1.5,1.0
events-ee-H.hepmc3.gz,64.97,16,40.91042,Julia,EEKt,Best,1.5,1.0
events-ee-Z.hepmc3.gz,43.05,16,13.912080000000001,Julia,EEKt,Best,0.2,1.0
events-ee-H.hepmc3.gz,64.97,16,27.891669999999998,Julia,EEKt,Best,0.2,1.0
events-ee-Z.hepmc3.gz,43.05,16,13.752080000000001,Julia,EEKt,Best,0.2,0.0
events-ee-H.hepmc3.gz,64.97,16,28.7325,Julia,EEKt,Best,0.2,0.0
events-ee-Z.hepmc3.gz,43.05,16,14.73,FastJet,EEKt,Best,0.4,0.0
events-ee-H.hepmc3.gz,64.97,16,27.79,FastJet,EEKt,Best,0.4,0.0
events-ee-Z.hepmc3.gz,43.05,16,22.39083,Julia,EEKt,Best,2.0,0.0
events-ee-H.hepmc3.gz,64.97,16,42.097080000000005,Julia,EEKt,Best,2.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,20.88458,Julia,EEKt,Best,1.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,38.42292,Julia,EEKt,Best,1.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,14.57,FastJet,EEKt,Best,2.0,1.0
events-ee-H.hepmc3.gz,64.97,16,29.08,FastJet,EEKt,Best,2.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,21.62708,Julia,EEKt,Best,1.5,-1.0
events-ee-H.hepmc3.gz,64.97,16,40.2725,Julia,EEKt,Best,1.5,-1.0
events-ee-Z.hepmc3.gz,43.05,16,22.49416,Julia,EEKt,Best,4.0,0.0
events-ee-H.hepmc3.gz,64.97,16,41.76375,Julia,EEKt,Best,4.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,17.29291,Julia,EEKt,Best,0.4,1.0
events-ee-H.hepmc3.gz,64.97,16,32.65292,Julia,EEKt,Best,0.4,1.0
events-ee-Z.hepmc3.gz,43.05,16,15.53,FastJet,EEKt,Best,0.2,1.0
events-ee-H.hepmc3.gz,64.97,16,25.91,FastJet,EEKt,Best,0.2,1.0
events-ee-Z.hepmc3.gz,43.05,16,13.825840000000001,Julia,EEKt,Best,0.2,-1.0
events-ee-H.hepmc3.gz,64.97,16,27.9725,Julia,EEKt,Best,0.2,-1.0
events-ee-Z.hepmc3.gz,43.05,16,18.7,FastJet,EEKt,Best,1.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,31.23,FastJet,EEKt,Best,1.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,15.18,FastJet,EEKt,Best,0.4,1.0
events-ee-H.hepmc3.gz,64.97,16,27.9,FastJet,EEKt,Best,0.4,1.0
events-ee-Z.hepmc3.gz,43.05,16,14.43,FastJet,EEKt,Best,2.0,0.0
events-ee-H.hepmc3.gz,64.97,16,29.54,FastJet,EEKt,Best,2.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,22.64709,Julia,EEKt,Best,4.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,42.04625,Julia,EEKt,Best,4.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,19.76,FastJet,EEKt,Best,1.5,-1.0
events-ee-H.hepmc3.gz,64.97,16,33.1,FastJet,EEKt,Best,1.5,-1.0
events-ee-Z.hepmc3.gz,43.05,16,15.14,FastJet,Durham,Best,4.0,1.0
events-ee-H.hepmc3.gz,64.97,16,27.82,FastJet,Durham,Best,4.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,14.87,FastJet,EEKt,Best,0.2,-1.0
events-ee-H.hepmc3.gz,64.97,16,25.86,FastJet,EEKt,Best,0.2,-1.0
events-ee-Z.hepmc3.gz,43.05,16,17.675420000000003,Julia,EEKt,Best,0.4,-1.0
events-ee-H.hepmc3.gz,64.97,16,33.46458,Julia,EEKt,Best,0.4,-1.0
events-ee-Z.hepmc3.gz,43.05,16,14.19,FastJet,EEKt,Best,0.2,0.0
