file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R,p
events-ee-Z.hepmc3.gz,43.05,16,32.401669999999996,Julia,AntiKt,N2Tiled,2.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,51.45625,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,93.53458,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,141.45209,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,176.36125,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-1TeV.hepmc3.gz,226.98,16,225.87582999999998,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-2TeV.hepmc3.gz,226.98,16,223.07375,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,300.8325,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,402.99583,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,524.17333,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,683.22709,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,761.32791,Julia,AntiKt,N2Tiled,2.0,-1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,895.1225,Julia,AntiKt,N2Tiled,2.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,22.90042,Julia,AntiKt,N2Tiled,0.4,-1.0
events-ee-H.hepmc3.gz,64.97,16,38.45416,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,39.79875,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,64.5925,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,79.19958000000001,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-1TeV.hepmc3.gz,226.98,16,112.6125,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-2TeV.hepmc3.gz,226.98,16,113.62166,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,143.61708000000002,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,203.66042000000002,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,261.67417,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,339.92582999999996,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,372.81709,Julia,AntiKt,N2Tiled,0.4,-1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,437.36375,Julia,AntiKt,N2Tiled,0.4,-1.0
events-ee-Z.hepmc3.gz,43.05,16,23.59209,Julia,AntiKt,N2Plain,2.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,39.71917,Julia,AntiKt,N2Plain,2.0,-1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,85.09459000000001,Julia,AntiKt,N2Plain,2.0,-1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,149.95167,Julia,AntiKt,N2Plain,2.0,-1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,205.22792,Julia,AntiKt,N2Plain,2.0,-1.0
events-pp-1TeV.hepmc3.gz,226.98,16,269.25125,Julia,AntiKt,N2Plain,2.0,-1.0
