File,mean_particles,File_path,n_samples,time_per_event
events-ee-Z.hepmc3,43.05,data/events-ee-Z.hepmc3,16,10.52792
events-ee-H.hepmc3,64.97,data/events-ee-H.hepmc3,16,21.48291
events-pp-0.5TeV-5GeV.hepmc3,112.62,data/events-pp-0.5TeV-5GeV.hepmc3,16,42.32542
events-pp-1TeV-5GeV.hepmc3,160.36,data/events-pp-1TeV-5GeV.hepmc3,16,84.82458000000001
events-pp-2TeV-5Gev.hepmc3,188.21,data/events-pp-2TeV-5Gev.hepmc3,16,126.85916000000002
events-pp-1TeV.hepmc3,226.98,data/events-pp-1TeV.hepmc3,16,179.00082999999998
events-pp-2TeV.hepmc3,226.98,data/events-pp-2TeV.hepmc3,16,179.44959
events-pp-5TeV-10GeV.hepmc3,284.15,data/events-pp-5TeV-10GeV.hepmc3,16,287.09459
events-pp-8TeV-20GeV.hepmc3,354.18,data/events-pp-8TeV-20GeV.hepmc3,16,464.25459
events-pp-13TeV-20GeV.hepmc,431.18,data/events-pp-13TeV-20GeV.hepmc,16,672.93416
events-pp-20TeV-20GeV.hepmc3,524.59,data/events-pp-20TeV-20GeV.hepmc3,16,996.38083
events-pp-20TeV-50GeV.hepmc3,553.64,data/events-pp-20TeV-50GeV.hepmc3,16,1157.69542
events-pp-30TeV-50GeV.hepmc3,632.29,data/events-pp-30TeV-50GeV.hepmc3,16,1478.56375
