File,mean_particles,File_path,n_samples,time_per_event
events-ee-Z.hepmc3,43.05,test/data/events-ee-Z.hepmc3,32,16.835
events-ee-H.hepmc3,64.97,test/data/events-ee-H.hepmc3,32,29.0225
events-pp-0.5TeV-5GeV.hepmc3,112.62,test/data/events-pp-0.5TeV-5GeV.hepmc3,32,30.62375
events-pp-1TeV-5GeV.hepmc3,160.36,test/data/events-pp-1TeV-5GeV.hepmc3,32,47.88333000000001
events-pp-2TeV-5Gev.hepmc3,188.21,test/data/events-pp-2TeV-5Gev.hepmc3,32,60.16167
events-pp-1TeV.hepmc3,226.98,test/data/events-pp-1TeV.hepmc3,32,82.52833000000001
events-pp-2TeV.hepmc3,226.98,test/data/events-pp-2TeV.hepmc3,32,83.03583
events-pp-5TeV-10GeV.hepmc3,284.15,test/data/events-pp-5TeV-10GeV.hepmc3,32,105.70584000000001
events-pp-8TeV-20GeV.hepmc3,354.18,test/data/events-pp-8TeV-20GeV.hepmc3,32,147.25
events-pp-13TeV-20GeV.hepmc,431.18,test/data/events-pp-13TeV-20GeV.hepmc,32,189.84582999999998
events-pp-20TeV-20GeV.hepmc3,524.59,test/data/events-pp-20TeV-20GeV.hepmc3,32,242.41125
events-pp-20TeV-50GeV.hepmc3,553.64,test/data/events-pp-20TeV-50GeV.hepmc3,32,278.43333
events-pp-30TeV-50GeV.hepmc3,632.29,test/data/events-pp-30TeV-50GeV.hepmc3,32,324.52375
